2025-06-16 02:05:24 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:24 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:24 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:24 [   DEBUG] Navbar tests passed (test_playwright.py:69)
2025-06-16 02:05:24 [   DEBUG] Navigating to discover page from http://localhost:43591/ (test_playwright.py:219)
2025-06-16 02:05:24 [    INFO] discover (variables.py:50)
2025-06-16 02:05:27 [    INFO] Bulb discovery failed. Please ensure bulbs are connected to the same network as your computer. (variables.py:50)
2025-06-16 02:05:27 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:27 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:27 [   DEBUG] Successfully navigated to discover page (test_playwright.py:229)
2025-06-16 02:05:27 [   DEBUG] http://localhost:43591/discover/ (test_playwright.py:71)
2025-06-16 02:05:27 [   DEBUG] URL is: http://localhost:43591/discover/ (test_playwright.py:74)
2025-06-16 02:05:27 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:27 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:27 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:27 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:27 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:27 [   DEBUG] Navbar tests passed (test_playwright.py:76)
2025-06-16 02:05:27 [   DEBUG] Page closed (test_playwright.py:78)
2025-06-16 02:05:28 [    INFO] load home page (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:28 [   DEBUG] Using browser, chromium Page URL is: http://localhost:43591/ (test_playwright.py:121)
2025-06-16 02:05:28 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:28 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:28 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:28 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:28 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:28 [   DEBUG] Navbar tests passed (test_playwright.py:124)
2025-06-16 02:05:28 [    INFO] load FAQ page (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:28 [   DEBUG] URL is: http://localhost:43591/faq/ (test_playwright.py:128)
2025-06-16 02:05:29 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:29 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:29 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:29 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:29 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:29 [   DEBUG] Navbar tests passed (test_playwright.py:130)
2025-06-16 02:05:29 [   DEBUG] URL is: http://localhost:43591/faq/ (test_playwright.py:249)
2025-06-16 02:05:29 [   DEBUG] FAQ title is visible (test_playwright.py:251)
2025-06-16 02:05:29 [   DEBUG] Technical Questions title is visible (test_playwright.py:253)
2025-06-16 02:05:29 [   DEBUG] Troubleshooting title is visible (test_playwright.py:255)
2025-06-16 02:05:29 [   DEBUG] About tests passed (test_playwright.py:132)
2025-06-16 02:05:29 [   DEBUG] Page closed (test_playwright.py:134)
2025-06-16 02:05:29 [    INFO] load home page (variables.py:50)
2025-06-16 02:05:29 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:29 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:29 [   DEBUG] Using browser, firefox Page URL is: http://localhost:43591/ (test_playwright.py:121)
2025-06-16 02:05:29 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:29 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:29 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:29 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:30 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:30 [   DEBUG] Navbar tests passed (test_playwright.py:124)
2025-06-16 02:05:30 [    INFO] load FAQ page (variables.py:50)
2025-06-16 02:05:30 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:30 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:30 [   DEBUG] URL is: http://localhost:43591/faq/ (test_playwright.py:128)
2025-06-16 02:05:30 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:30 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:30 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:30 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:30 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:30 [   DEBUG] Navbar tests passed (test_playwright.py:130)
2025-06-16 02:05:30 [   DEBUG] URL is: http://localhost:43591/faq/ (test_playwright.py:249)
2025-06-16 02:05:30 [   DEBUG] FAQ title is visible (test_playwright.py:251)
2025-06-16 02:05:30 [   DEBUG] Technical Questions title is visible (test_playwright.py:253)
2025-06-16 02:05:30 [   DEBUG] Troubleshooting title is visible (test_playwright.py:255)
2025-06-16 02:05:30 [   DEBUG] About tests passed (test_playwright.py:132)
2025-06-16 02:05:30 [   DEBUG] Page closed (test_playwright.py:134)
2025-06-16 02:05:30 [    INFO] Running tests on: chromium (test_playwright.py:37)
2025-06-16 02:05:31 [    INFO] load home page (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:31 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:31 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:31 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:31 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:31 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:31 [   DEBUG] Navbar tests passed (test_playwright.py:42)
2025-06-16 02:05:31 [   DEBUG] Page closed (test_playwright.py:44)
2025-06-16 02:05:31 [    INFO] Running tests on: firefox (test_playwright.py:37)
2025-06-16 02:05:31 [    INFO] load home page (variables.py:50)
2025-06-16 02:05:32 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:32 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:32 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:32 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:32 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:32 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:32 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:32 [   DEBUG] Navbar tests passed (test_playwright.py:42)
2025-06-16 02:05:32 [   DEBUG] Page closed (test_playwright.py:44)
 URL is: http://localhost:34975/ (test_playwright.py:94)
2025-06-16 02:05:24 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:24 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:24 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:24 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:24 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:24 [   DEBUG] Navbar tests passed (test_playwright.py:96)
2025-06-16 02:05:24 [   DEBUG] Page closed (test_playwright.py:98)
2025-06-16 02:05:24 [    INFO] discover (variables.py:50)
2025-06-16 02:05:27 [    INFO] Bulb discovery failed. Please ensure bulbs are connected to the same network as your computer. (variables.py:50)
2025-06-16 02:05:27 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:27 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:27 [   DEBUG] Using browser, firefox Page URL is: http://localhost:34975/discover/ (test_playwright.py:87)
2025-06-16 02:05:28 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:28 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:28 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:28 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:28 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:28 [   DEBUG] Navbar tests passed (test_playwright.py:90)
2025-06-16 02:05:28 [    INFO] load home page (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:28 [   DEBUG] URL is: http://localhost:34975/ (test_playwright.py:94)
2025-06-16 02:05:28 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:28 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:28 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:28 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:28 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:28 [   DEBUG] Navbar tests passed (test_playwright.py:96)
2025-06-16 02:05:28 [   DEBUG] Page closed (test_playwright.py:98)
2025-06-16 02:05:28 [    INFO] load ABOUT page (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:28 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:28 [   DEBUG] Using brow2025-06-16 02:05:30 [    INFO] Bulb discovery failed. Please ensure bulbs are connected to the same network as your computer. (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:31 [   DEBUG] Using browser, firefox Page URL is: http://localhost:39051/discover/ (test_playwright.py:52)
2025-06-16 02:05:31 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:31 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:31 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:31 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:31 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:31 [   DEBUG] Navbar tests passed (test_playwright.py:56)
2025-06-16 02:05:31 [   DEBUG] Page closed (test_playwright.py:58)
2025-06-16 02:05:31 [    INFO] load FAQ page (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:31 [    INFO] Clearing error message (variables.py:50)
2025-06-16 02:05:31 [   DEBUG] Using browser, chromium Page URL is: http://localhost:39051/faq/ (test_playwright.py:107)
2025-06-16 02:05:32 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:32 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:32 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:32 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:32 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:32 [   DEBUG] Navbar tests passed (test_playwright.py:110)
2025-06-16 02:05:32 [   DEBUG] URL is: http://localhost:39051/faq/ (test_playwright.py:249)
2025-06-16 02:05:32 [   DEBUG] FAQ title is visible (test_playwright.py:251)
2025-06-16 02:05:32 [   DEBUG] Technical Questions title is visible (test_playwright.py:253)
2025-06-16 02:05:32 [   DEBUG] Troubleshooting title is visible (test_playwright.py:255)
2025-06-16 02:05:32 [   DEBUG] FAQ tests passed (test_playwright.py:112)
2025-06-16 02:05:33 [    INFO] load FAQ page (variables.py:50)
2025-06-16 02:05:33 [    INFO] Clearing error message (variables.py:50)
